,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,NB_PREVIOUS_APPLICATION,APPROVED_RATE_PREVIOUS
41857,406803,Cash loans,M,Y,Y,0,450000.0,375367.5,42453.0,337500.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.010006,12157,-4376,-572.0,-4171,9.0,1,1,1,1,1,0,,2.0,2,2,MONDAY,11,0,0,0,0,0,0,Business Entity Type 1,0.3756925809449409,0.1512429506205085,0.4294236843421945,0.0706,0.0553,0.9826,0.762,0.0381,0.0,0.1207,0.1667,0.2083,0.0196,0.0563,0.0436,0.0058,0.0066,0.0179,0.019,0.9796,0.7321,0.0034,0.0,0.0345,0.1667,0.2083,0.0085,0.0147,0.0131,0.0039,0.0045,0.0713,0.0553,0.9826,0.7652,0.0384,0.0,0.1207,0.1667,0.2083,0.0199,0.0573,0.0444,0.0058,0.0067,reg oper account,block of flats,0.0597,"Stone, brick",No,5.0,0.0,5.0,0.0,-2247.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.83415,0.09434,0.11309716477851706,-0.3599572262893806,2.0,0.5
31259,327216,Cash loans,F,N,Y,0,247500.0,964575.0,31243.5,675000.0,Family,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.031329,18555,-4716,-3303.0,-2083,,1,1,0,1,0,0,Sales staff,1.0,2,2,TUESDAY,12,0,0,0,0,0,0,Trade: type 3,0.5939402062930395,0.461579889926549,0.4650692149562261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2290.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.8972727272727274,0.12623636363636365,0.03239094938185211,-0.2541632983023444,9.0,0.8571428571428571
42741,411768,Cash loans,M,N,N,0,45000.0,376920.0,12870.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,21594,-167,-2133.0,-2167,,1,1,0,1,1,0,Security staff,2.0,2,2,TUESDAY,16,0,0,0,0,1,1,Security,0.6027857343826577,0.6193011705909979,0.3392876999089139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,8.376,0.286,0.03414517669531996,-0.007733629711957025,2.0,1.0
42494,410316,Cash loans,F,N,Y,0,202500.0,526491.0,23319.0,454500.0,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.009175,17948,-5229,-1898.0,-1482,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,Other,,0.6869658258721527,0.6577838002083306,0.1402,0.0,0.997,0.9592,0.0187,0.0,0.1034,0.2083,0.0417,0.0511,0.0698,0.0749,0.2046,0.0365,0.1429,0.0,0.997,0.9608,0.0188,0.0,0.1034,0.2083,0.0417,0.0522,0.0762,0.0781,0.2062,0.0387,0.1416,0.0,0.997,0.9597,0.0188,0.0,0.1034,0.2083,0.0417,0.0519,0.071,0.0763,0.2057,0.0373,reg oper spec account,block of flats,0.0771,"Stone, brick",No,0.0,0.0,0.0,0.0,-1771.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.5999555555555554,0.11515555555555555,0.04429135540778475,-0.29134165366614667,2.0,1.0
13773,199663,Cash loans,F,N,Y,0,135000.0,341280.0,19183.5,270000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0196889999999999,19132,-3973,-9336.0,-2678,,1,1,0,1,0,0,High skill tech staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Self-employed,,0.5484175887074139,0.5867400085415683,0.1964,0.1392,0.9866,0.8232,0.0188,0.2,0.1724,0.375,0.4167,0.1681,0.0664,0.2247,0.0039,0.0176,0.083,0.0888,0.9866,0.8301,0.019,0.0806,0.069,0.375,0.4167,0.092,0.0725,0.0892,0.0039,0.0053,0.1983,0.1392,0.9866,0.8256,0.0189,0.2,0.1724,0.375,0.4167,0.171,0.0676,0.2288,0.0039,0.018,reg oper account,block of flats,0.3373,"Stone, brick",No,3.0,0.0,3.0,0.0,-1817.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,2.528,0.1421,0.056210443037974685,-0.2076625548818733,7.0,1.0
2419,116948,Cash loans,F,N,Y,0,135000.0,481176.0,24696.0,360000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.00712,21325,365243,-16.0,-4874,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,12,1,0,0,1,0,0,XNA,,0.6872432056906362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-442.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3.5642666666666667,0.18293333333333334,0.05132425557384408,17.127456037514655,7.0,0.5714285714285714
20273,247260,Cash loans,F,N,Y,0,112500.0,139230.0,10539.0,112500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.032561,19608,-882,-13573.0,-2786,,1,1,0,1,1,0,,1.0,1,1,TUESDAY,18,0,0,0,0,0,0,University,,0.6107116981581906,0.6801388218428291,0.2519,0.0,0.9771,0.6872,0.0468,0.25,0.2155,0.3333,0.375,0.0353,,0.2389,,0.0025,0.2637,0.0,0.9772,0.6994,0.0471,0.282,0.2414,0.3333,0.375,0.0,,0.2344,,0.0014,0.2613,0.0,0.9771,0.6914,0.0471,0.28,0.2414,0.3333,0.375,0.036,,0.2432,,0.0025,reg oper account,block of flats,0.1806,Panel,No,0.0,0.0,0.0,0.0,-1748.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2376,0.09368,0.07569489334195216,-0.044981640146878825,4.0,1.0
45643,433686,Revolving loans,M,Y,Y,0,238500.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.01885,9265,-221,-2534.0,-1937,3.0,1,1,1,1,0,0,Sales staff,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 1,0.1805659916734032,0.2724647783174517,0.0616842560883986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.7547169811320755,0.03773584905660377,0.05,-0.023853211009174313,17.0,0.07142857142857142
34911,355241,Cash loans,M,Y,Y,2,180000.0,539100.0,29376.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010147,14340,-4515,-1992.0,-1566,7.0,1,1,0,1,0,1,,4.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Industry: type 3,0.2882026591827856,0.5634511488804275,0.3740208032583212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2072.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.995,0.1632,0.054490818030050084,-0.3148535564853556,3.0,1.0
13293,196476,Cash loans,M,N,Y,1,202500.0,336204.0,35433.0,297000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,11801,-1020,-8398.0,-2832,,1,1,0,1,0,0,Cooking staff,3.0,2,2,MONDAY,12,0,0,0,0,1,1,Business Entity Type 3,0.1483015965964547,0.3804961764364376,0.1997705696341145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-276.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.6602666666666666,0.1749777777777778,0.10539136952564514,-0.086433353105669,5.0,1.0
20717,250340,Cash loans,F,N,N,0,180000.0,1842952.5,64057.5,1683000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.0072739999999999,13142,-1338,-1038.0,-1960,,1,1,1,1,0,0,Sales staff,2.0,2,2,MONDAY,9,0,0,0,0,0,0,Self-employed,0.4553916048981165,0.6076608780433802,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,10.238625,0.355875,0.03475808519210343,-0.10181098767310912,3.0,1.0
